datetime,close,supertrend,in_uptrend,trend_int,shift
2025-01-01 11:15:00,10917.7,10896.731333333335,True,1,0.0
2025-01-01 11:16:00,10918.0,10896.731333333335,True,1,0.0
2025-01-01 11:17:00,10924.05,10896.731333333335,True,1,0.0
2025-01-01 11:18:00,10922.8,10896.731333333335,True,1,0.0
2025-01-01 11:19:00,10915.45,10896.731333333335,True,1,0.0
2025-01-01 11:20:00,10920.0,10896.731333333335,True,1,0.0
2025-01-01 11:21:00,10917.65,10896.731333333335,True,1,0.0
2025-01-01 11:22:00,10920.0,10896.731333333335,True,1,0.0
2025-01-01 11:23:00,10911.95,10896.731333333335,True,1,0.0
2025-01-01 11:24:00,10915.85,10896.731333333335,True,1,0.0
2025-01-01 11:25:00,10909.6,10896.731333333335,True,1,0.0
2025-01-01 11:26:00,10910.0,10896.731333333335,True,1,0.0
2025-01-01 11:27:00,10913.45,10896.731333333335,True,1,0.0
2025-01-01 11:28:00,10909.5,10896.731333333335,True,1,0.0
2025-01-01 11:29:00,10912.7,10896.731333333335,True,1,0.0
2025-01-01 11:30:00,10913.0,10896.731333333335,True,1,0.0
2025-01-01 11:31:00,10909.7,10896.731333333335,True,1,0.0
2025-01-01 11:32:00,10916.25,10896.731333333335,True,1,0.0
2025-01-01 11:33:00,10919.75,10896.731333333335,True,1,0.0
2025-01-01 11:34:00,10911.6,10896.731333333335,True,1,0.0
2025-01-01 11:35:00,10908.55,10896.731333333335,True,1,0.0
2025-01-01 11:36:00,10902.0,10896.731333333335,True,1,0.0
2025-01-01 11:37:00,10895.9,10896.731333333335,False,0,1.0
2025-01-01 11:38:00,10896.0,10896.731333333335,False,0,0.0
2025-01-01 11:39:00,10892.4,10896.731333333335,False,0,0.0
2025-01-01 11:40:00,10882.95,10896.731333333335,False,0,0.0
2025-01-01 11:41:00,10887.9,10896.731333333335,False,0,0.0
2025-01-01 11:42:00,10895.0,10896.731333333335,False,0,0.0
2025-01-01 11:43:00,10900.0,10896.731333333335,True,1,1.0
2025-01-01 11:44:00,10901.1,10896.731333333335,True,1,0.0
2025-01-01 11:45:00,10895.8,10896.731333333335,False,0,1.0
2025-01-01 11:46:00,10907.0,10896.731333333335,True,1,1.0
2025-01-01 11:47:00,10895.1,10896.731333333335,False,0,1.0
2025-01-01 11:48:00,10890.0,10896.731333333335,False,0,0.0
2025-01-01 11:49:00,10885.0,10896.731333333335,False,0,0.0
2025-01-01 11:50:00,10891.4,10896.731333333335,False,0,0.0
2025-01-01 11:51:00,10892.5,10896.731333333335,False,0,0.0
2025-01-01 11:52:00,10883.95,10896.731333333335,False,0,0.0
2025-01-01 11:53:00,10886.1,10896.731333333335,False,0,0.0
2025-01-01 11:54:00,10879.95,10896.731333333335,False,0,0.0
2025-01-01 11:55:00,10885.1,10896.731333333335,False,0,0.0
2025-01-01 11:56:00,10879.7,10896.731333333335,False,0,0.0
2025-01-01 11:57:00,10878.75,10896.731333333335,False,0,0.0
2025-01-01 11:58:00,10879.1,10896.731333333335,False,0,0.0
2025-01-01 11:59:00,10880.0,10896.731333333335,False,0,0.0
2025-01-01 12:00:00,10878.35,10896.731333333335,False,0,0.0
2025-01-01 12:01:00,10877.45,10896.731333333335,False,0,0.0
2025-01-01 12:02:00,10867.0,10896.731333333335,False,0,0.0
2025-01-01 12:03:00,10870.0,10896.731333333335,False,0,0.0
2025-01-01 12:04:00,10878.35,10896.731333333335,False,0,0.0
2025-01-01 12:05:00,10878.95,10896.731333333335,False,0,0.0
2025-01-01 12:06:00,10876.8,10896.731333333335,False,0,0.0
2025-01-01 12:07:00,10870.0,10896.731333333335,False,0,0.0
2025-01-01 12:08:00,10879.25,10896.731333333335,False,0,0.0
