stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage1,60,120,,,0.002587,0.174667,123,177
stage1,60,240,,,0.002587,0.174667,123,177
stage1,60,360,,,0.002980,0.205369,122,176
stage1,60,480,,,0.003373,0.236655,121,175
stage1,60,600,,,0.003521,0.249490,121,173
stage1,60,720,,,0.003560,0.253242,121,172
stage1,60,840,,,0.003530,0.252234,120,171
stage1,60,960,,,0.003608,0.259138,120,170
stage1,60,1080,,,0.003760,0.272743,120,168
stage1,60,1200,,,0.002580,0.180769,119,167
stage1,60,1320,,,0.002556,0.178671,119,167
stage1,60,1440,,,0.002261,0.156514,117,167
stage1,60,1560,,,0.006202,0.393085,117,165
stage1,60,1680,,,0.006860,0.438393,117,163
stage1,60,1800,,,0.006548,0.416429,117,163
stage1,60,1920,,,0.006005,0.377419,116,163
stage1,120,120,,,-0.002879,-0.431356,68,109
stage1,120,240,,,-0.002879,-0.431356,68,109
stage1,120,360,,,-0.002879,-0.431356,68,109
stage1,120,480,,,-0.002879,-0.431356,68,109
stage1,120,600,,,-0.002830,-0.426989,68,108
stage1,120,720,,,-0.002970,-0.447143,67,108
stage1,120,840,,,-0.002723,-0.415230,68,106
stage1,120,960,,,-0.002858,-0.433621,67,107
stage1,120,1080,,,-0.003331,-0.499422,67,106
stage1,120,1200,,,-0.005062,-0.738372,66,106
stage1,120,1320,,,-0.005207,-0.758140,66,106
stage1,120,1440,,,-0.005484,-0.795930,66,106
stage1,120,1560,,,-0.002022,-0.283235,66,104
stage1,120,1680,,,-0.001867,-0.263824,66,104
stage1,120,1800,,,-0.002178,-0.300000,66,104
stage1,120,1920,,,-0.002608,-0.349704,65,104
stage1,180,120,,,0.000140,-0.031624,46,71
stage1,180,240,,,0.000140,-0.031624,46,71
stage1,180,360,,,0.000140,-0.031624,46,71
stage1,180,480,,,0.000140,-0.031624,46,71
stage1,180,600,,,0.000140,-0.031624,46,71
stage1,180,720,,,0.000140,-0.031624,46,71
stage1,180,840,,,0.000306,0.003017,46,70
stage1,180,960,,,0.001000,0.149565,46,69
stage1,180,1080,,,0.001000,0.149565,46,69
stage1,180,1200,,,-0.000455,-0.157826,46,69
stage1,180,1320,,,-0.000441,-0.156140,45,69
stage1,180,1440,,,-0.000709,-0.213158,45,69
stage1,180,1560,,,0.002123,0.331416,45,68
stage1,180,1680,,,0.002338,0.372321,45,67
stage1,180,1800,,,0.002045,0.317411,45,67
stage1,180,1920,,,0.001031,0.127679,44,68
stage1,240,120,,,0.001588,0.348990,38,61
stage1,240,240,,,0.001588,0.348990,38,61
stage1,240,360,,,0.001588,0.348990,38,61
stage1,240,480,,,0.001588,0.348990,38,61
stage1,240,600,,,0.001588,0.348990,38,61
stage1,240,720,,,0.001588,0.348990,38,61
stage1,240,840,,,0.001588,0.348990,38,61
stage1,240,960,,,0.001588,0.348990,38,61
stage1,240,1080,,,0.002611,0.604592,38,60
stage1,240,1200,,,0.001612,0.355612,37,61
stage1,240,1320,,,0.001704,0.381959,37,60
stage1,240,1440,,,0.001601,0.356186,37,60
stage1,240,1560,,,0.004674,0.973958,38,58
stage1,240,1680,,,0.004065,0.847368,37,58
stage1,240,1800,,,0.003776,0.782632,37,58
stage1,240,1920,,,0.003596,0.735789,37,58
stage1,300,120,,,-0.003772,-1.140123,28,53
stage1,300,240,,,-0.003772,-1.140123,28,53
stage1,300,360,,,-0.003772,-1.140123,28,53
stage1,300,480,,,-0.003772,-1.140123,28,53
stage1,300,600,,,-0.003772,-1.140123,28,53
stage1,300,720,,,-0.003772,-1.140123,28,53
stage1,300,840,,,-0.003772,-1.140123,28,53
stage1,300,960,,,-0.003772,-1.140123,28,53
stage1,300,1080,,,-0.003772,-1.140123,28,53
stage1,300,1200,,,-0.003772,-1.140123,28,53
stage1,300,1320,,,-0.003652,-1.116875,28,52
stage1,300,1440,,,-0.003757,-1.148125,28,52
stage1,300,1560,,,-0.001507,-0.417722,29,50
stage1,300,1680,,,-0.001894,-0.522436,28,50
stage1,300,1800,,,-0.002202,-0.601282,28,50
stage1,300,1920,,,-0.002449,-0.658333,28,50
stage1,360,120,,,-0.002276,-0.904839,18,44
stage1,360,240,,,-0.002276,-0.904839,18,44
stage1,360,360,,,-0.002276,-0.904839,18,44
stage1,360,480,,,-0.002276,-0.904839,18,44
stage1,360,600,,,-0.002276,-0.904839,18,44
