stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage1,80,160,,,-0.002527,-0.251891,94,144
stage1,80,320,,,-0.002527,-0.251891,94,144
stage1,80,480,,,-0.003183,-0.302542,93,143
stage1,80,640,,,-0.003036,-0.292553,93,142
stage1,80,800,,,-0.002821,-0.278112,92,141
stage1,80,960,,,-0.002742,-0.274242,91,140
stage1,80,1120,,,-0.002207,-0.236564,91,136
stage1,80,1280,,,-0.002010,-0.222667,90,135
stage1,80,1440,,,-0.002055,-0.227009,89,135
stage1,80,1600,,,-0.003250,-0.318834,88,135
stage1,80,1760,,,-0.003697,-0.352691,88,135
stage1,80,1920,,,-0.005004,-0.452477,87,135
stage1,160,160,,,0.008409,1.055515,58,78
stage1,160,320,,,0.008409,1.055515,58,78
stage1,160,480,,,0.008409,1.055515,58,78
stage1,160,640,,,0.008409,1.055515,58,78
stage1,160,800,,,0.008741,1.106667,58,77
stage1,160,960,,,0.008857,1.139098,57,76
stage1,160,1120,,,0.008956,1.176538,56,74
stage1,160,1280,,,0.009584,1.272093,56,73
stage1,160,1440,,,0.009587,1.290551,55,72
stage1,160,1600,,,0.007039,0.917200,53,72
stage1,160,1760,,,0.006787,0.879600,53,72
stage1,160,1920,,,0.006202,0.789919,52,72
stage1,240,160,,,0.015198,3.069444,40,50
stage1,240,320,,,0.015198,3.069444,40,50
stage1,240,480,,,0.015198,3.069444,40,50
stage1,240,640,,,0.015198,3.069444,40,50
stage1,240,800,,,0.015198,3.069444,40,50
stage1,240,960,,,0.015198,3.069444,40,50
stage1,240,1120,,,0.015237,3.110112,40,49
stage1,240,1280,,,0.015470,3.189205,40,48
stage1,240,1440,,,0.017467,3.632558,40,46
stage1,240,1600,,,0.015879,3.251744,39,47
stage1,240,1760,,,0.016091,3.318235,39,46
stage1,240,1920,,,0.015744,3.207647,39,46
stage1,320,160,,,0.004702,1.193846,30,35
stage1,320,320,,,0.004702,1.193846,30,35
stage1,320,480,,,0.004702,1.193846,30,35
stage1,320,640,,,0.004702,1.193846,30,35
stage1,320,800,,,0.004702,1.193846,30,35
stage1,320,960,,,0.004702,1.193846,30,35
stage1,320,1120,,,0.004702,1.193846,30,35
stage1,320,1280,,,0.004702,1.193846,30,35
stage1,320,1440,,,0.004615,1.183594,30,34
stage1,320,1600,,,0.005252,1.358730,29,34
stage1,320,1760,,,0.005359,1.404032,29,33
stage1,320,1920,,,0.005010,1.284677,28,34
stage1,400,160,,,0.004235,1.190566,24,29
stage1,400,320,,,0.004235,1.190566,24,29
stage1,400,480,,,0.004235,1.190566,24,29
stage1,400,640,,,0.004235,1.190566,24,29
stage1,400,800,,,0.004235,1.190566,24,29
stage1,400,960,,,0.004235,1.190566,24,29
stage1,400,1120,,,0.004235,1.190566,24,29
stage1,400,1280,,,0.004235,1.190566,24,29
stage1,400,1440,,,0.004235,1.190566,24,29
stage1,400,1600,,,0.004235,1.190566,24,29
stage1,400,1760,,,0.005699,1.709615,24,28
stage1,400,1920,,,0.006671,2.043269,24,28
stage1,480,160,,,0.001342,0.197674,18,25
stage1,480,320,,,0.001342,0.197674,18,25
stage1,480,480,,,0.001342,0.197674,18,25
stage1,480,640,,,0.001342,0.197674,18,25
stage1,480,800,,,0.001342,0.197674,18,25
stage1,480,960,,,0.001342,0.197674,18,25
stage1,480,1120,,,0.001342,0.197674,18,25
stage1,480,1280,,,0.001342,0.197674,18,25
stage1,480,1440,,,0.001342,0.197674,18,25
stage1,480,1600,,,0.001342,0.197674,18,25
stage1,480,1760,,,0.001342,0.197674,18,25
stage1,480,1920,,,0.001342,0.197674,18,25
stage1,560,160,,,-0.005502,-2.922500,14,26
stage1,560,320,,,-0.005502,-2.922500,14,26
stage1,560,480,,,-0.005502,-2.922500,14,26
stage1,560,640,,,-0.005502,-2.922500,14,26
stage1,560,800,,,-0.005502,-2.922500,14,26
stage1,560,960,,,-0.005502,-2.922500,14,26
stage1,560,1120,,,-0.005502,-2.922500,14,26
stage1,560,1280,,,-0.005502,-2.922500,14,26
stage1,560,1440,,,-0.005502,-2.922500,14,26
stage1,560,1600,,,-0.005502,-2.922500,14,26
stage1,560,1760,,,-0.005502,-2.922500,14,26
stage1,560,1920,,,-0.005502,-2.922500,14,26
stage1,640,160,,,-0.007254,-3.867105,12,26
stage1,640,320,,,-0.007254,-3.867105,12,26
stage1,640,480,,,-0.007254,-3.867105,12,26
stage1,640,640,,,-0.007254,-3.867105,12,26
stage1,640,800,,,-0.007254,-3.867105,12,26
stage1,640,960,,,-0.007254,-3.867105,12,26
stage1,640,1120,,,-0.007254,-3.867105,12,26
stage1,640,1280,,,-0.007254,-3.867105,12,26
stage1,640,1440,,,-0.007254,-3.867105,12,26
stage1,640,1600,,,-0.007254,-3.867105,12,26
stage1,640,1760,,,-0.007254,-3.867105,12,26
stage1,640,1920,,,-0.007254,-3.867105,12,26
stage1,720,160,,,-0.010753,-5.548649,11,26
stage1,720,320,,,-0.010753,-5.548649,11,26
stage1,720,480,,,-0.010753,-5.548649,11,26
stage1,720,640,,,-0.010753,-5.548649,11,26
stage1,720,800,,,-0.010753,-5.548649,11,26
stage1,720,960,,,-0.010753,-5.548649,11,26
stage1,720,1120,,,-0.010753,-5.548649,11,26
stage1,720,1280,,,-0.010753,-5.548649,11,26
stage1,720,1440,,,-0.010753,-5.548649,11,26
stage1,720,1600,,,-0.010753,-5.548649,11,26
stage1,720,1760,,,-0.010753,-5.548649,11,26
stage1,720,1920,,,-0.010753,-5.548649,11,26
stage1,800,160,,,-0.011420,-6.509375,8,24
stage1,800,320,,,-0.011420,-6.509375,8,24
stage1,800,480,,,-0.011420,-6.509375,8,24
stage1,800,640,,,-0.011420,-6.509375,8,24
stage1,800,800,,,-0.011420,-6.509375,8,24
stage1,800,960,,,-0.011420,-6.509375,8,24
stage1,800,1120,,,-0.011420,-6.509375,8,24
stage1,800,1280,,,-0.011420,-6.509375,8,24
stage1,800,1440,,,-0.011420,-6.509375,8,24
stage1,800,1600,,,-0.011420,-6.509375,8,24
stage1,800,1760,,,-0.011420,-6.509375,8,24
stage1,800,1920,,,-0.011420,-6.509375,8,24
stage1,880,160,,,-0.012850,-7.261290,9,22
stage1,880,320,,,-0.012850,-7.261290,9,22
stage1,880,480,,,-0.012850,-7.261290,9,22
stage1,880,640,,,-0.012850,-7.261290,9,22
stage1,880,800,,,-0.012850,-7.261290,9,22
stage1,880,960,,,-0.012850,-7.261290,9,22
stage1,880,1120,,,-0.012850,-7.261290,9,22
stage1,880,1280,,,-0.012850,-7.261290,9,22
stage1,880,1440,,,-0.012850,-7.261290,9,22
stage1,880,1600,,,-0.012850,-7.261290,9,22
stage1,880,1760,,,-0.012850,-7.261290,9,22
stage1,880,1920,,,-0.012850,-7.261290,9,22
stage1,960,160,,,-0.012836,-7.350000,8,22
stage1,960,320,,,-0.012836,-7.350000,8,22
stage1,960,480,,,-0.012836,-7.350000,8,22
stage1,960,640,,,-0.012836,-7.350000,8,22
stage1,960,800,,,-0.012836,-7.350000,8,22
stage1,960,960,,,-0.012836,-7.350000,8,22
stage1,960,1120,,,-0.012836,-7.350000,8,22
stage1,960,1280,,,-0.012836,-7.350000,8,22
stage1,960,1440,,,-0.012836,-7.350000,8,22
stage1,960,1600,,,-0.012836,-7.350000,8,22
stage1,960,1760,,,-0.012836,-7.350000,8,22
stage1,960,1920,,,-0.012836,-7.350000,8,22
stage2,240,1440,480,960,0.017467,3.632558,40,46
stage2,240,1440,480,1200,0.007562,1.683974,34,44
stage2,240,1440,720,960,0.015344,3.156818,40,48
stage2,240,1440,720,1200,0.006606,1.506000,32,43
stage2,240,1760,480,960,0.016091,3.318235,39,46
stage2,240,1760,480,1200,0.006514,1.430519,33,44
stage2,240,1760,720,960,0.016002,3.261047,39,47
stage2,240,1760,720,1200,0.007736,1.776027,31,42
stage2,240,1600,480,960,0.015879,3.251744,39,47
stage2,240,1600,480,1200,0.006432,1.401282,33,45
stage2,240,1600,720,960,0.015790,3.195977,39,48
stage2,240,1600,720,1200,0.007649,1.740541,31,43
stage2,240,1920,480,960,0.015744,3.207647,39,46
stage2,240,1920,480,1200,0.006165,1.334416,33,44
stage2,240,1920,720,960,0.015654,3.151744,39,47
stage2,240,1920,720,1200,0.007401,1.674658,31,42
stage2,240,1280,480,960,0.015470,3.189205,40,48
stage2,240,1280,480,1200,0.005483,1.186875,34,46
stage2,240,1280,720,960,0.015515,3.162921,40,49
